year,title,metacritic_score
1986,Poltergeist II: The Other Side,49.0
1986,Short Circuit,50.0
1986,Pretty in Pink,56.0
1986,Peggy Sue Got Married,74.0
1986,About Last Night...,62.0
1986,Running Scared,41.0
1986,The Fly,65.0
1985,Back to the Future,10.0
1985,Rambo: First Blood Part II,
1985,Beverly Hills Cop,16.0
1985,Rocky IV,40.0
1985,Cocoon,65.0
1985,The Dream is Alive,
1985,Witness,75.0
1985,The Goonies,62.0
1985,Police Academy 2: Their First Assignment,39.0
1985,Fantasia,59.0
1985,A View to a Kill,40.0
1985,National Lampoons European Vacation,47.0
1985,Fletch,68.0
1985,The Breakfast Club,66.0
1985,Spies Like Us,
1985,The Jewel of the Nile,53.0
1985,Mask,56.0
1985,Pale Rider,61.0
1985,Pee Wees Big Adventure,47.0
1985,Brewsters Millions,37.0
1985,Jagged Edge,
1985,St. Elmos Fire,35.0
1985,Mad Max Beyond Thunderdome,71.0
1985,Commando,51.0
1985,Silverado,64.0
1984,Ghostbusters,71.0
1984,Indiana Jones and the Temple of Doom,57.0
1984,Gremlins,70.0
1984,Beverly Hills Cop,16.0
1984,The Karate Kid,
1984,Police Academy,16.0
1984,Footloose,42.0
1984,Star Trek III: The Search for Spock,56.0
1984,Romancing the Stone,63.0
1984,Purple Rain,55.0
1984,Terms of Endearment,79.0
1984,Splash,74.0
1984,Grand Canyon: The Hidden Secrets,
1984,Tightrope,57.0
1984,The Natural,74.0
1984,Greystoke: The Legend of Tarzan Lord of the Apes,62.0
1984,Revenge of the Nerds,44.0
1984,Red Dawn,79.0
1984,Bachelor Party,56.0
1984,Breakin',42.0
1984,The Terminator,38.0
1984,All of Me,93.0
1984,Friday the 13th Part IV: The Final Chapter,
1984,2010,53.0
1984,City Heat,76.0
1983,Star Wars Ep. VI: Return of the Jedi,
1983,Tootsie,88.0
1983,Flashdance,39.0
1983,Trading Places,69.0
1983,WarGames,77.0
1983,Octopussy,63.0
1983,Mr. Mom,50.0
1983,Staying Alive,23.0
1983,Risky Business,
1983,National Lampoons Vacation,55.0
1983,Superman III,44.0
1983,Never Say Never Again,60.0
1983,Gandhi,79.0
1983,48 Hrs.,71.0
1983,The Big Chill,52.0
1983,Terms of Endearment,79.0
1983,Blue Thunder,66.0
1983,Jaws 3-D,
1983,Sudden Impact,52.0
1983,The Verdict,77.0
1983,E.T. the Extra-Terrestrial,91.0
1983,Porkys II: The Next Day,38.0
1983,Psycho II,58.0
1983,Snow White and the Seven Dwarfs,95.0
1983,Twilight Zone: The Movie,
1982,E.T. the Extra-Terrestrial,91.0
1982,Rocky III,57.0
1982,On Golden Pond,68.0
1982,An Officer and a Gentleman,75.0
1982,Porkys,
1982,Star Wars Ep. IV: A New Hope,
1982,Star Trek II: The Wrath of Khan,67.0
1982,Poltergeist,47.0
1982,The Best Little Whorehouse in Texas,40.0
1982,Chariots of Fire,78.0
1982,Annie,33.0
1982,Raiders of the Lost Ark,85.0
1982,Firefox,44.0
1982,First Blood,93.0
1982,Tootsie,88.0
1982,Conan the Barbarian,43.0
1982,The Sword and the Sorcerer,39.0
1982,Friday the 13th Part 3,
1982,Richard Pryor Live on the Sunset Strip,
1982,Young Doctors in Love,
1982,The Toy,95.0
1982,The World According to Garp,63.0
1982,Reds,76.0
1982,Blade Runner,
1982,Fast Times at Ridgemont High,61.0
1981,Raiders of the Lost Ark,85.0
1981,Superman II,44.0
1981,Nine to Five,
1981,Stripes,68.0
1981,Arthur,41.0
1981,The Cannonball Run,
1981,For Your Eyes Only,
1981,The Fox and the Hound,73.0
1981,The Four Seasons,69.0
1981,Cheech & Chongs Nice Dreams,
1981,Tarzan The Ape Man,24.0
1981,Excalibur,56.0
1981,Time Bandits,79.0
1981,Endless Love,30.0
1981,An American Werewolf in London,55.0
1981,History of the World: Part I,74.0
1981,Bustin' Loose,55.0
1981,The Great Muppet Caper,70.0
1981,Clash of the Titans,39.0
1981,Fort Apache The Bronx,49.0
1981,The Jazz Singer,76.0
1981,Only When I Laugh,
1981,Halloween II,50.0
1981,Escape from New York,
1981,Body Heat,76.0
1980,Star Wars Ep. V: The Empire Strikes Back,
1980,Stir Crazy,56.0
1980,Kramer vs. Kramer,77.0
1980,Airplane!,78.0
1980,Any Which Way You Can,
1980,Private Benjamin,59.0
1980,Coal Miners Daughter,87.0
1980,Smokey and the Bandit II,
1980,The Blues Brothers,
1980,Ordinary People,
1980,Popeye,64.0
1980,The Blue Lagoon,31.0
1980,Urban Cowboy,61.0
1980,The Shining,66.0
1980,Cheech & Chongs Next Movie,
1980,Caddyshack,48.0
1980,Friday the 13th,22.0
1980,Brubaker,54.0
1980,Little Darlings,45.0
1980,Dressed to Kill,74.0
1980,Flash Gordon,58.0
1980,The Elephant Man,78.0
1980,Bronco Billy,66.0
1980,Caligula,
1980,Seems Like Old Times,
1979,Superman,44.0
1979,The Amityville Horror,33.0
1979,Rocky 2,
1979,Star Trek: The Motion Picture,38.0
1979,Apocalypse Now,
1979,The Muppet Movie,
1979,The Jerk,
1979,Moonraker,66.0
1979,Alien,65.0
1979,10,
1979,The Deer Hunter,49.0
1979,Love at First Bite,
1979,Escape from Alcatraz,76.0
1979,Meatballs,66.0
1979,The Electric Horseman,64.0
1979,Manhattan,
1979,Starting Over,64.0
1979,The In-Laws,
1979,All That Jazz,72.0
1979,The Black Stallion,52.0
1979,The Main Event,52.0
1979,The Black Hole,71.0
1979,The China Syndrome,81.0
1979,1941,34.0
1979,...And Justice For All,
1978,Grease,70.0
1978,National Lampoons Animal House,
1978,Jaws 2,
1978,Heaven Can Wait,72.0
1978,Every Which Way but Loose,41.0
1978,Hooper,70.0
1978,Convoy,47.0
1978,California Suite,
1978,Up in Smoke,50.0
1978,Superman,44.0
1978,Foul Play,
1978,Revenge of the Pink Panther,65.0
1978,Midnight Express,59.0
1978,Coming Home,
1978,The End,42.0
1978,Star Wars Ep. IV: A New Hope,
1978,House Calls,76.0
1978,The Cheap Detective,
1978,The Lord of the Rings,94.0
1978,Invasion of the Body Snatchers,75.0
1978,Damien: Omen II,
1978,An Unmarried Woman,79.0
1978,Beyond and Back,48.0
1978,Magic,72.0
1978,Same Time Next Year,
1977,Star Wars Ep. IV: A New Hope,
1977,Close Encounters of the Third Kind,90.0
1977,Saturday Night Fever,
1977,Smokey and the Bandit,50.0
1977,The Goodbye Girl,64.0
1977,In Search of Noahs Ark,
1977,Oh God!,30.0
1977,A Bridge Too Far,63.0
1977,The Deep,68.0
1977,The Spy Who Loved Me,55.0
1977,Annie Hall,92.0
1977,Semi-Tough,68.0
1977,Petes Dragon,71.0
1977,The Gauntlet,59.0
1977,The Turning Point,68.0
1977,Heroes,
1977,High Anxiety,55.0
1977,Airport '77,36.0
1977,The Rescuers,74.0
1977,Herbie Goes to Monte Carlo,38.0
1977,Slap Shot,61.0
1977,Freaky Friday,70.0
1977,Exorcist II: The Heretic,39.0
1977,The Other Side of Midnight,
1977,For the Love of Benji,46.0
1976,Rocky,70.0
1976,To Fly!,65.0
1976,A Star is Born,88.0
1976,King Kong,62.0
1976,Silver Streak,41.0
1976,All the Presidents Men,84.0
1976,The Omen,62.0
1976,The Enforcer,48.0
1976,Midway,79.0
1976,The Bad News Bears,65.0
1976,Silent Movie,
1976,The Pink Panther Strikes Again,60.0
1976,Murder by Death,62.0
1976,Marathon Man,64.0
1976,Taxi Driver,94.0
1976,The Outlaw Josey Wales,
1976,Carrie,85.0
1976,Logans Run,
1976,Network,
1976,Across the Great Divide,
1976,The Pom Pom Girls,
1976,Mother Jugs & Speed,
1976,The Missouri Breaks,65.0
1976,Family Plot,75.0
1976,Gator,41.0
1975,Jaws,87.0
1975,One Flew Over the Cuckoos Nest,84.0
1975,Shampoo,65.0
1975,Dog Day Afternoon,86.0
1975,The Return of the Pink Panther,61.0
1975,Three Days of the Condor,63.0
1975,Funny Lady,95.0
1975,The Other Side of the Mountain,
1975,Tommy,46.0
1975,The Apple Dumpling Gang,37.0
1975,Rollerball,14.0
1975,The Adventures of the Wilderness Family,
1975,The Hindenburg,
1975,Lucky Lady,
1975,Snow White and the Seven Dwarfs,95.0
1975,Love and Death,89.0
1975,Barry Lyndon,89.0
1975,The Great Waldo Pepper,
1975,The Adventure of Sherlock Holmes' Smarter Brother,
1975,Alice Doesn't Live Here Anymore,78.0
1975,W.W. and the Dixie Dancekings,
1975,Breakout,44.0
1975,The Eiger Sanction,61.0
1975,French Connection II,
1975,Race with the Devil,53.0
1974,Blazing Saddles,73.0
1974,Towering Inferno,69.0
1974,The Trial of Billy Jack,
1974,Young Frankenstein,36.0
1974,Earthquake,66.0
1974,The Godfather: Part II,60.0
1974,Airport 1975,50.0
1974,The Life and Times of Grizzly Adams,
1974,The Longest Yard,48.0
1974,Murder on the Orient Express,52.0
1974,Herbie Rides Again,49.0
1974,Benji,53.0
1974,Freebie and the Bean,
1974,Dirty Mary Crazy Larry,52.0
1974,The Texas Chainsaw Massacre,38.0
1974,The Great Gatsby,55.0
1974,Erinnerungen an die Zukunft,
1974,Thunderbolt and Lightfoot,62.0
1974,Chinatown,92.0
1974,Death Wish,31.0
1974,The Man with the Golden Gun,43.0
1974,The Groove Tube,
1974,Thats Entertainment,
1974,Macon County Line,
1974,Gone with the Wind,97.0
1973,The Exorcist,81.0
1973,The Sting,83.0
1973,American Graffiti,97.0
1973,Papillon,51.0
1973,The Way We Were,61.0
1973,Magnum Force,58.0
1973,Live and Let Die,
1973,Robin Hood,32.0
1973,Paper Moon,77.0
1973,Serpico,87.0
1973,Jesus Christ Superstar,64.0
1973,The Worlds Greatest Athlete,
1973,Enter the Dragon,83.0
1973,Sleeper,49.0
1973,A Touch of Class,
1973,The Day of the Jackal,80.0
1973,High Plains Drifter,69.0
1973,The Last Detail,89.0
1973,Battle for the Planet of the Apes,40.0
1973,Pat Garrett and Billy the Kid,
1973,Westworld,77.0
1973,Lost Horizon,
1973,The Day of the Dolphin,
1973,Jonathan Livingston Seagull,
1972,The Godfather,
1972,The Poseidon Adventure,22.0
1972,Whats Up Doc?,
1972,Deliverance,80.0
1972,Deep Throat,64.0
1972,Jeremiah Johnson,75.0
1972,Cabaret,80.0
1972,The Getaway,63.0
1972,Last Tango in Paris,77.0
1972,Lady Sings the Blues,
1972,Everything You Always Wanted to Know,66.0
1972,The Valachi Papers,
1972,Sounder,80.0
1972,The Life and Times of Judge Roy Bean,
1972,Pete 'n' Tillie,
1972,Frenzy,92.0
1972,Across 110th Street,
1972,Shafts Big Score,
1972,Conquest of the Planet of the Apes,49.0
1972,The Cowboys,50.0
1972,Joe Kidd,52.0
1972,The Last House on the Left,42.0
